         9610377 function calls (9601061 primitive calls) in 6.360 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.016    0.016 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/_fontconfig_pattern.py:1(<module>)
        1    0.000    0.000    0.015    0.015 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/axes/_axes.py:46(Axes)
        1    0.000    0.000    0.015    0.015 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/offsetbox.py:1(<module>)
        1    0.000    0.000    0.015    0.015 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/projections/geo.py:1(<module>)
        1    0.000    0.000    0.015    0.015 /usr/lib/python3/dist-packages/pyparsing.py:1(<module>)
     9933    0.014    0.000    0.014    0.000 {method 'search' of 're.Pattern' objects}
      636    0.005    0.000    0.014    0.000 /usr/lib/python3.10/inspect.py:2280(_signature_from_function)
        1    0.000    0.000    0.013    0.013 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/axis.py:1(<module>)
        1    0.000    0.000    0.013    0.013 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/style/__init__.py:1(<module>)
        1    0.000    0.000    0.013    0.013 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/style/core.py:1(<module>)
        2    0.000    0.000    0.013    0.006 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/style/core.py:206(read_style_directory)
      446    0.013    0.000    0.013    0.000 {built-in method builtins.dir}
      973    0.001    0.000    0.012    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/__init__.py:711(__setitem__)
        1    0.000    0.000    0.012    0.012 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/projections/polar.py:1(<module>)
     4233    0.012    0.000    0.012    0.000 /home/lorenzo/Scrivania/lavoro/borsaNOgui/SimulatorDiscreteSync.py:290(<listcomp>)
       51    0.000    0.000    0.011    0.000 /usr/lib/python3.10/re.py:249(compile)
      437    0.000    0.000    0.011    0.000 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/artist.py:1536(number_of_parameters)
        1    0.000    0.000    0.011    0.011 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/lines.py:1(<module>)
      195    0.000    0.000    0.010    0.000 /usr/lib/python3.10/sre_compile.py:622(_code)
    90594    0.010    0.000    0.010    0.000 {method 'startswith' of 'str' objects}
     6024    0.006    0.000    0.010    0.000 /usr/lib/python3.10/inspect.py:2637(__init__)
147287/146245    0.009    0.000    0.010    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.009    0.009 /home/lorenzo/.local/lib/python3.10/site-packages/matplotlib/image.py:1(<module>)
