method,alpha,byzantine_ids,byzantine_attack_probability,byzantine_multiplier_upper,byzantine_max_tampering,iterations,mitigation_count,avg_weight,avg_deviation
method2,0.5,[2],0.1,1.5,1,107,107,0.3371028037383177,202.6335514018691
method2,0.5,[2],0.1,1.2,10,55,55,0.17890909090909085,104.83727272727272
method2,0.9,[2],0.05,1.2,5,149,149,0.32228187919463097,235.298255033557
method2,0.5,[2],0.05,1.3,30,34,34,0.25558823529411745,114.99941176470587
method2,0.9,[2],0.1,1.2,1,68,68,0.21205882352941177,111.195
method2,0.9,[2],0.05,1.5,10,251,251,0.34203187250996,219.59545816733072
method1,,[2],0.05,1.3,1,41,41,0.1914634146341463,115.02902439024393
method2,0.75,[2],0.5,1.3,1,380,380,0.1887105263157894,298.344
method2,0.5,[2],0.05,1.2,5,118,118,0.26584745762711864,183.56245762711856
method2,0.9,[2],0.5,1.2,1,63,63,0.2957142857142857,468.28380952380945
method2,0.5,[2],0.05,1.2,1,13,13,0.01692307692307693,82.21384615384615
method2,0.9,[2],0.05,1.2,10,132,132,0.14954545454545437,113.47159090909084
method2,0.9,[2],0.1,1.3,30,108,108,0.3802777777777778,233.3002777777778
method2,0.9,[2],0.01,1.3,1,54,54,0.25425925925925924,168.81962962962967
method2,0.75,[2],0.5,1.3,5,150,150,0.27680000000000005,173.21160000000003
method2,0.5,[2],0.5,1.3,50,107,107,0.23168224299065424,113.85607476635512
method2,0.5,[2],0.01,1.2,50,82,82,0.24999999999999992,139.67317073170736
method2,0.5,[2],0.5,1.5,5,126,126,0.26984126984126955,196.40420634920645
method1,,[2],0.05,1.5,30,171,171,0.5728654970760231,4523.075438596491
method2,0.75,[2],0.01,1.5,5,34,34,0.39470588235294124,213.2841176470588
method1,,[2],0.5,1.2,30,84,84,0.23333333333333334,116.72357142857139
method2,0.75,[2],0.1,1.2,1,68,68,0.29514705882352965,111.12897058823533
method2,0.5,[2],0.5,1.2,5,71,71,0.3271830985915493,260.3391549295775
method2,0.9,[2],0.01,1.2,1,240,240,0.27241666666666664,202.03058333333328
method2,0.25,[2],0.05,1.5,30,42,42,0.19428571428571426,110.02857142857144
method2,0.25,[2],0.05,1.5,50,3,3,0.06666666666666667,70.60000000000001
method2,0.9,[2],0.01,1.3,5,66,66,0.3395454545454546,294.58848484848494
method2,0.5,[2],0.5,1.5,50,81,81,0.3382716049382715,233.95493827160502
method2,0.25,[2],0.05,1.5,10,27,27,0.2962962962962963,113.59814814814818
method2,0.75,[2],0.01,1.2,30,124,124,0.08782258064516112,113.48177419354845
method2,0.5,[2],0.1,1.3,5,113,113,0.277079646017699,207.1620353982301
method1,,[2],0.1,1.3,30,75,75,0.2988,242.86533333333335
method2,0.75,[2],0.1,1.2,30,91,91,0.3004395604395604,224.09340659340663
method1,,[2],0.5,1.2,1,48,48,0.23895833333333327,149.13395833333337
method2,0.5,[2],0.05,1.2,10,61,61,0.3990163934426231,183.94721311475408
method2,0.75,[2],0.05,1.3,50,54,54,0.1696296296296295,108.3901851851852
method2,0.9,[2],0.01,1.5,10,27,27,0.24444444444444446,107.96370370370371
method2,0.5,[2],0.5,1.3,5,61,61,0.3834426229508198,224.2896721311475
method1,,[2],0.05,1.5,1,111,111,0.25027027027027027,122.36801801801803
method2,0.75,[2],0.05,1.2,1,147,147,0.4304081632653061,252.57931972789123
method1,,[2],0.1,1.3,10,99,99,0.2753535353535356,165.13161616161617
method2,0.9,[2],0.05,1.3,30,33,33,0.4463636363636363,393.4803030303031
method2,0.25,[2],0.05,1.2,1,137,137,0.27364963503649614,183.0602189781022
method1,,[2],0.05,1.3,5,3,3,0.05333333333333334,66.81
method2,0.25,[2],0.5,1.5,1,83,83,0.34180722891566273,196.19301204819277
method2,0.75,[2],0.05,1.5,10,70,70,0.3141428571428573,252.64285714285714
method2,0.25,[2],0.01,1.3,50,59,59,0.18847457627118636,134.16237288135596
method2,0.25,[2],0.5,1.3,50,70,70,0.3178571428571428,208.85271428571426
method2,0.75,[2],0.05,1.2,30,64,64,0.13796874999999992,105.38796874999997
method2,0.9,[2],0.1,1.3,5,293,293,0.1372354948805463,252.66040955631414
method2,0.5,[2],0.01,1.5,10,215,215,0.4006976744186049,214.2333488372091
method2,0.25,[2],0.1,1.5,30,123,123,0.33626016260162617,198.83121951219508
method2,0.75,[2],0.5,1.2,50,92,92,0.30282608695652163,167.66597826086954
method1,,[2],0.1,1.2,50,46,46,0.17130434782608697,100.98391304347824
method2,0.9,[2],0.01,1.5,5,30,30,0.30499999999999994,121.116
method2,0.9,[2],0.5,1.3,30,41,41,0.197560975609756,114.40658536585364
method2,0.9,[2],0.05,1.5,1,19,19,0.041578947368421056,79.7894736842105
method2,0.9,[2],0.01,1.2,30,3,3,0.09666666666666666,69.89
method2,0.5,[2],0.01,1.2,5,196,196,0.21331632653061208,165.7361224489796
method1,,[2],0.05,1.5,50,38,38,0.23052631578947358,115.16763157894736
method2,0.75,[2],0.1,1.3,30,581,581,0.11440619621342515,216.18671256454368
method2,0.5,[2],0.05,1.3,10,106,106,0.23018867924528325,190.2033962264151
method2,0.5,[2],0.1,1.5,30,38,38,0.2352631578947367,117.3894736842105
method2,0.9,[2],0.01,1.3,50,188,188,0.2224999999999998,167.41547872340425
method2,0.75,[2],0.05,1.3,10,86,86,0.3090697674418605,167.85046511627897
method1,,[2],0.5,1.2,5,49,49,0.19020408163265293,109.74387755102039
method2,0.75,[2],0.05,1.2,10,27,27,0.3333333333333333,122.41259259259256
method2,0.75,[2],0.5,1.3,50,75,75,0.2753333333333334,116.20666666666669
method2,0.9,[2],0.01,1.3,10,45,45,0.14755555555555547,103.60155555555554
method2,0.75,[2],0.01,1.3,10,25,25,0.2599999999999999,117.70439999999999
method2,0.9,[2],0.05,1.3,5,110,110,0.28527272727272734,197.81545454545457
method1,,[2],0.01,1.5,50,188,188,0.3375531914893615,245.4090957446808
method2,0.9,[2],0.1,1.5,5,60,60,0.3438333333333334,198.47949999999994
method2,0.9,[2],0.5,1.3,1,616,616,0.1228896103896106,230.1629870129868
method1,,[2],0.5,1.3,10,57,57,0.3296491228070175,195.6935087719298
method2,0.25,[2],0.01,1.2,1,116,116,0.09741379310344811,117.07362068965521
method2,0.75,[2],0.5,1.5,50,83,83,0.3545783132530121,225.73024096385544
method2,0.5,[2],0.1,1.5,10,90,90,0.40355555555555556,335.41222222222217
method1,,[2],0.05,1.5,10,14,14,0.01571428571428572,84.99785714285714
method2,0.5,[2],0.01,1.3,30,80,80,0.45474999999999993,263.299
