         50068 function calls (49873 primitive calls) in 28.666 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       42    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:316(get_input_data)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:914(get_code)
       44    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/simpy/events.py:587(__init__)
       48    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/utils.py:194(inner)
       42    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:679(clear_wait_events)
       56    0.000    0.000    0.001    0.000 {method 'format' of 'str' objects}
        2    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/loguru/_logger.py:2042(info)
        2    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/loguru/_logger.py:1906(_log)
      100    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
       21    0.000    0.000    0.001    0.000 /root/models/cosima_core/simulators/communication_simulator.py:384(get_data)
       23    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1498(find_spec)
       48    0.001    0.000    0.001    0.000 {method 'write' of '_io.TextIOWrapper' objects}
       47    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:194(<listcomp>)
      6/5    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1017(_handle_fromlist)
        1    0.000    0.000    0.001    0.001 {built-in method builtins.__import__}
        8    0.000    0.000    0.001    0.000 /root/models/cosima_core/mosaik_sim/SimulatorDiscreteCosima.py:353(check_partners)
      291    0.000    0.000    0.001    0.000 /usr/lib/python3.8/abc.py:96(__instancecheck__)
      389    0.000    0.000    0.001    0.000 {built-in method _heapq.heappop}
       41    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/simmanager.py:942(add)
       44    0.000    0.000    0.001    0.000 /usr/local/lib/python3.8/dist-packages/simpy/events.py:529(_build_value)
      135    0.001    0.000    0.001    0.000 {built-in method now}
      177    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
      173    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/std.py:1433(set_postfix_str)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1164(create_module)
        2    0.000    0.000    0.000    0.000 {built-in method _imp.create_dynamic}
       69    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/simpy/events.py:551(_check)
       47    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:179(check_trigger)
       42    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/mosaik/scheduler.py:626(get_avg_progress)
       44    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/simpy/events.py:485(__init__)
       21    0.000    0.000    0.000    0.000 {method 'SerializeToString' of 'google.protobuf.pyext._message.CMessage' objects}
      686    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       45    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/dist-packages/tqdm/std.py:400(format_interval)
